District,Gas Stove -Yes,Refrigerator/Freezer,Clothes washer,Car/van/autombile,Motorcycle,Cellular Phone,No Cable/satellite Tv,Average Age
 Abancay,17857.0,17857.0,4792.0,2583.0,1517.0,18877.0,12706.0,29.200136176624
 Abelardo Pardo Lezameta,1.0,1.0,,,,103.0,122.0,35.3975409836066
 Acarí,1368.0,1368.0,381.0,180.0,340.0,1331.0,714.0,34.8736542758481
 Acas,30.0,30.0,,1.0,2.0,170.0,221.0,34.6920731707317
 Accha,277.0,277.0,7.0,20.0,65.0,369.0,986.0,34.4306472919419
 Accomarca,76.0,76.0,,1.0,1.0,175.0,397.0,41.72460496614
 Achaya,258.0,258.0,14.0,6.0,192.0,762.0,1124.0,33.2753007784855
 Achoma,239.0,239.0,1.0,13.0,34.0,285.0,353.0,40.5493460166469
 Aco,199.5,199.5,3.0,51.0,28.0,249.5,337.0,37.7096436227138
 Acobamba,1257.6666666666667,1257.6666666666667,125.5,216.0,136.0,1589.6666666666667,1884.3333333333333,31.584412808092804
 Acobambilla,144.0,144.0,1.0,1.0,12.0,304.0,676.0,34.4064356435644
 Acochaca,462.0,462.0,15.0,10.0,14.0,806.0,997.0,36.5133214920071
 Acocro,637.0,637.0,6.0,56.0,49.0,1332.0,2165.0,28.6883695799
 Acolla,1383.0,1383.0,28.0,112.0,57.0,1536.0,1858.0,34.8519006088531
 Acomayo,686.0,686.0,76.0,56.0,81.0,887.0,1256.0,30.8656222418358
 Acopampa,270.0,270.0,59.0,64.0,19.0,544.0,655.0,34.3139158576052
 Acopia,304.0,304.0,8.0,13.0,22.0,433.0,806.0,35.9569811320755
 Acora,4113.0,4113.0,31.0,132.0,861.0,5469.0,10187.0,37.6469230434215
 Acoria,1882.0,1882.0,33.0,51.0,72.0,3328.0,5318.0,31.3776966292135
 Acos,364.0,364.0,11.0,22.0,29.0,502.0,703.0,34.4411239964318
 Acos Vinchos,709.0,709.0,10.0,45.0,13.0,813.0,1291.0,29.3032169746749
 Acostambo,447.0,447.0,6.0,18.0,22.0,601.0,1037.0,33.6120636864666
 Acraquia,436.0,436.0,10.0,28.0,102.0,800.0,1115.0,32.5636002271437
 Aczo,108.0,108.0,6.0,10.0,6.0,382.0,553.0,31.677267987487
 Agallpampa,267.0,267.0,7.0,26.0,164.0,1851.0,2682.0,27.4894076956334
 Agua Blanca,341.0,341.0,31.0,9.0,75.0,455.0,607.0,33.1223175965665
 Aguas Verdes,4461.0,4461.0,523.0,169.0,1306.0,4235.0,2846.0,26.5653000115168
 Ahuac,1341.0,1341.0,68.0,117.0,99.0,1401.0,1824.0,34.3421094622626
